url,about,tags,category,score,date
https://bff.makeitmovie.org/,Take a photo of a work of art. Upload it. And AI matches it to an award-winning movie from the Brooklyn Film Festival archive.,"['animated', 'responsive', 'WebGL']",web design/dev,NONE,Nominated 2024 Jul 19
https://www.funtech.inc/,"A creative studio in Tokyo specializing in Web Design, Video Commercial, and 3D Motion Design.","['animated', 'video/sound', 'WebGL']",agency,NONE,Nominated 2024 Jul 17
https://antino.net/,An updated version of my personal portfolio created in 2022,"['animated', 'video/sound', 'WebGL']",web design/dev,NONE,Nominated 2024 Jul 15
https://www.usestate.org/,Version 4. This contains technical exercises and works created using generative AI.,"['animated', 'one page', 'WebGL']",web design/dev,NONE,Nominated 2024 Jul 13
https://www.astralura.com,Astralura is an immersive experience that explore horoscopes using 3d designed for a previously canceled exhibition.,"['animated', 'scroll', 'WebGL']",entertainment,NONE,Nominated 2024 Jul 13
https://www.naelmessaoudene.com/,"Portfolio of Nael Messaoudene, french freelance creative developer

","['animated', 'scroll', 'WebGL']",web design/dev,8.43,Website Of The Day 2024 Jul 19
https://freespeech.gubrica.com/,"What really is freedom of speech? And what are the ideas, we can learn from it? Open the interactive dictionary and explore it.","['animated', 'WebGL']",education,9.16,Website Of The Day 2024 Jul 18
https://www.renault.fr/vehicules-electriques/r5-e-tech-electrique.html,"R5 is back with an immersive website detailing every feature and facet of R5's personality, in each of its 5 pop colors.","['eCommerce', 'scroll', 'WebGL']",products,8.30,Website Of The Day 2024 Jul 17
https://louisvuitton-collectibles.imm-g-prod.com/,Discover the case study from our collaboration with Louis Vuitton on the VIA project - the Maison's first digital trunk.,"['responsive', 'scroll', 'WebGL']",products,8.98,Website Of The Day 2024 Jul 15
https://centrumpar.pl,Understanding relationships. Cultivating connection. Warsaw-based center offering couples therapy with compassionate therapists.,"['illustrated', 'liquid', 'WebGL']",wellbeing,NONE,Nominated 2024 Jul 5
https://non-linear.studio,"Non-Linear Studio is an independent creative studio crafting digital experiences connecting brand, design, and technology.","['animated', 'grid', 'WebGL']",agency,7.96,Special Kudos 2024 Jul 9
https://alexissejourne.fr/,"Freelance Creative Developer, based in Paris. Specialized both in creative and useful things.","['animated', 'scroll', 'WebGL']",web design/dev,8.02,Special Kudos 2024 Jul 9
https://lumieredelune.app/,"This digital experience allows users to discover the world of a brand and its products, in a 3D environment.","['colorful', 'video/sound', 'WebGL']",web design/dev,8.66,Website Of The Day 2024 Jul 11
https://www.sanwa-fl.co.jp/en/,"This is the corporate website of Sanwa Facade Lab, a company specializing in facade engineering and custom curtain wall construction.","['grid', 'responsive', 'WebGL']",other,6.53,Special Kudos 2024 Jul 5
https://www.triptych.co,"Triptych is a digital agency that specializes in complex web-based applications, 3D/motion interactive campaigns, and AR, VR, XR etc.","['fullscreen', 'liquid', 'WebGL']",agency,6.93,Special Kudos 2024 Jul 4
https://www.girard-perregaux.com/casquette-collection/,"Discover the new microsite and 3D film, featuring the Girard Perregaux Casquette watch.","['animated', 'scroll', 'WebGL']",products,8.39,Website Of The Day 2024 Jul 9
https://ashfall.studio/,"We are Ashfall Studio, a global creative and technology company working with tech visionaries.","['animated', 'WebGL']",agency,8.17,Website Of The Day 2024 Jul 7
https://wearestatebird.com/,The world has enough advertising agencies. So we built something entirely different.,"['animated', 'responsive', 'WebGL']",agency,7.78,Special Kudos 2024 Jul 2
https://rodeo.film,Rodeo Film is a collective based on the association of diverse talents.,"['grid', 'scroll', 'WebGL']",agency,8.38,Website Of The Day 2024 Jul 4
https://mota.inc/,"Corporate website of MOTA Inc, a company committed to DX transformation of the automotive distribution market.","['animated', 'typographic', 'WebGL']",services,7.85,Special Kudos 2024 Jun 29
https://aquadra.ch,Pioneering Sustainable Solutions in Hydraulic Engineering,"['animated', 'scroll', 'WebGL']",services,7.17,Special Kudos 2024 Jun 28
https://evasanchez.info/,Portfolio for self-promotion as an Interactive Designer based in Barcelona and working globally.,"['liquid', 'typographic', 'WebGL']",web design/dev,8.66,Website Of The Day 2024 Jul 2
https://www.kanaknaturals.com/,"The project features 3D animation scrolling, with an interactive and engaging experience for users to explore products dynamically.","['animated', 'scroll', 'WebGL']",products,8.36,Website Of The Day 2024 Jun 24
https://rogierdeboeve.com/,"Portfolio of Rogier de Boevé, Belgium-based creative developer.","['animated', 'video/sound', 'WebGL']",web design/dev,8.47,Website Of The Day 2024 Jun 25
https://clarissemichard.com/,Clarisse Michard's new 2024 website presents her showreel - Freelance Web designer,"['animated', 'scroll', 'WebGL']",web design/dev,8.47,Website Of The Day 2024 Jun 21
